genome,material_class,valid,e_clean,dE_H,dE_CH3,dE_C,dE_split,E_act,coking_index,segregation_energy,rate_constant,temperature_K,cost_penalty,pyrolysis_viable,E_act_censored,model_confidence,needs_dft_validation,worker_id,gpu_id,ntec_evidence_status,ntec_assistance,error
"('SAC', 'Pd', 'N2P2', 'N-carbon_black', 'O2')",SAC,True,-124.48578037388918,-0.6534052863717115,-2.789521932601925,5.327747136354461,-0.4865180253982544,0.6094373822212219,6.634557709097884,-0.3751371621717752,8483416230.423408,1000.0,-2.0,True,False,0.610000000035,False,0,0,,,
"('SAC', 'Hf', 'N3Se', 'Phosphorene', 'imidazole')",SAC,True,-135.9715393188273,-4.060955740511421,-6.786828875541712,4.399612218141542,-7.891375422477751,0.01,12.521523699164383,-0.788895484668933,8904349914533.771,1000.0,-1.045757490560675,True,True,0.610000000035,True,0,0,,,
"('DAC', 'Ru', 'Zn', 'N4S2', 'N-graphene')",DAC,True,-120.74139247556258,-2.128091432154182,-4.472084760665918,3.3215501606464244,-3.6437669992447184,0.01,7.577733024954789,-0.6942308521705968,8904349914533.771,1000.0,-2.0,True,True,0.5775000000349999,True,0,0,,,
"('DAC', 'Rh', 'Pd', 'N4O2', 'N-porous_carbon')",DAC,True,-125.0315638641089,-2.0349670425057447,-1.5976092815399134,-1.1665956676006175,-0.6761671304702759,0.43315966606140144,2.903338417410872,-0.3376847520161618,65610200391.95649,1000.0,-2.0,True,False,0.5775000000349999,False,0,0,,,
"('DAC', 'Pd', 'Pt', 'N2S2N2', 'N-graphene')",DAC,True,-122.29369160739594,-2.9907680526375806,-2.5333449840545903,-1.7201368510723256,-2.5677038431167887,0.01,4.261399254202836,-0.3236955880750969,8904349914533.771,1000.0,-2.0,True,True,0.5775000000349999,True,0,0,,,
"('DAC', 'Hf', 'Pb', 'C4N4', 'Phosphorene')",DAC,False,-120.7244806872555,-1.468993760645393,13.791159868240332,3.2435243427753306,15.27857530117032,5.0,6.181511864066117,-1.4262028901407349,6.325707019423942e-13,1000.0,-0.37675070960209966,True,,,,0,0,,,Unphysical dE_CH3=13.79 eV (|val|>10.0)
"('MOF', 'Rh', 'Oxalate', 'S4', 6.0)",MOF,True,-133.11925350261453,-0.3761459365487134,-2.653909921646143,2.506713181734071,-0.07364666461947422,1.9705413341522102,3.2590050548314977,-0.24044473317155735,1171.9491566398378,1000.0,-2.0,True,False,0.480000000035,True,0,0,,,
"('MOF', 'Pd', 'HHTP', 'N3S', 16.0)",MOF,True,-128.25689917859472,1.054819487035271,-1.2343275547027837,5.8508918583392955,2.7769011259078695,3.1107604503631476,3.7412528842687536,-0.27185685630934986,0.0021011513783026126,1000.0,-2.0,True,False,0.480000000035,True,0,0,,,
"('MOF', 'Hf', 'BTC', 'N4', 25.0)",MOF,True,-135.97154074933877,-4.060957409441475,-6.7848322093487035,3.0105316936969615,-7.889380425214796,0.01,11.13244651257991,-0.788895770771228,8904349914533.771,1000.0,-1.045757490560675,True,True,0.480000000035,True,0,0,,,
"('MOF', 'W', 'Triazolate', 'N2P2', 16.0)",MOF,True,-128.31770519204028,-4.899784184992317,-7.055284500122067,-0.8205563724040843,-8.998659491539001,0.01,8.97901199758055,-0.34424845197028303,8904349914533.771,1000.0,-1.806179973983887,True,True,0.480000000035,True,0,0,,,
"('COF', 'Pd', 'Imine', 'N4', 4.0)",COF,True,-131.92089542872512,1.213395975530144,-1.2017033100128138,5.868435651063933,2.9681018590927124,3.1872407436370853,3.4416437000036453,-0.2557304620374993,0.0008649950631778821,1000.0,-2.0,True,False,0.447500000035,True,0,0,,,
"('COF', 'Ag', 'Phenazine', 'N4', 4.0)",COF,True,-127.26412764718859,-0.51929817348719,-0.7000677585601771,5.926580220460906,1.7370432615280151,2.694817304611206,6.965176567435286,0.18347279392987445,0.26225183444521544,1000.0,-2.0,True,False,0.447500000035,True,0,0,,,
"('COF', 'Hf', 'Hydrazone', 'N4', 4.0)",COF,True,-135.97154074933877,-4.060957886278633,-6.784486860036875,3.0091326534747935,-7.8890355527401255,0.01,11.13104842603206,-0.7888949124643432,8904349914533.771,1000.0,-1.045757490560675,True,True,0.447500000035,True,0,0,,,
"('COF', 'W', 'Imide', 'P4', 40.0)",COF,True,-137.1017510826001,-1.7888380065560376,-5.795635581016537,1.5200341045856618,-4.628064393997192,0.1487742424011229,5.097710117697737,-0.3313253543598108,1779142845819.2312,1000.0,-1.806179973983887,True,False,0.447500000035,True,0,0,,,
"('Perovskite', 'Sm', 'Ti', 'Ti', 0.0, 'none')",Perovskite,True,-446.7526914521549,-2.6497417464852084,1.6967861652374872,1.5230214893818328,2.003453612327661,2.601899486780214,6.82250498235225,-0.18943527283985873,0.7709100831650748,1000.0,0.0,True,False,0.6527014328916925,False,0,0,,,
"('Perovskite', 'Sm', 'Rh', 'Ti', 0.0, 'none')",Perovskite,True,-341.1610140419214,-1.107856370508646,0.91457295417786,4.173341542482362,2.7631257772445963,3.019719177484528,6.389054283499654,-0.1342037970097863,0.0060434532021885895,1000.0,-0.933174956792775,True,False,0.6527014328916925,False,0,0,,,
"('Perovskite', 'Gd', 'Ti', 'Ti', 0.0, 'none')",Perovskite,False,-452.5472787632535,-4.895884610712503,-22.99874758720392,-11.165978401899352,-24.93822300434104,0.01,-1.3742091804743453,-0.3279834418513133,8904349914533.771,1000.0,0.0,True,,,,0,0,,,Unphysical dE_CH3=-23.00 eV (|val|>10.0)
"('Perovskite', 'Gd', 'Sb', 'None', 0.5, 'A_excess')",Perovskite,False,-347.6092755409123,-6.478438951075052,-7.56557917594915,-7.037962168455138,-11.08760893344882,0.01,5.918915733694966,-0.35403276970166075,8904349914533.771,1000.0,-1.9065783148377649,True,,,,0,0,,,Unphysical dE_split=-11.09 eV (|val|>10.0)
"('MetalHydride', 'Hf', 'complex_alanate', 'Mg', 'CeO2', 500)",MetalHydride,True,-260.43607001863614,-0.3459926620125522,-2.885193586349427,-0.5992109477520131,-0.27477705478659686,0.6213949143887121,0.09277437627309126,-0.29143020795075925,7384268266.424563,1000.0,0.0,True,False,0.401108834270667,True,0,0,,,
"('MetalHydride', 'Hf', 'perovskite_hydride', 'Fe', 'TiCl3', 550)",MetalHydride,True,-278.6648355856657,-0.7710796371106063,-3.1606490612033973,-0.09213849902154436,-0.9753195047386214,0.1660423219198961,1.4500207751996683,-0.31563446210114987,1456074271807.5508,1000.0,0.0,True,False,0.480000000035,True,0,0,,,
"('MetalHydride', 'V', 'intermetallic_A2B', 'Ti', 'Graphene', 600)",MetalHydride,True,-182.89214333463298,-1.1909557357434188,-2.8626334667209754,0.08371141552923689,-1.097180008889012,0.08683299422214219,2.4656228870160746,0.19616671399077176,3650740552076.684,1000.0,0.0,True,False,0.480000000035,True,0,0,,,
"('MetalHydride', 'Ta', 'intermetallic_AB5', 'Ta', 'Fe2O3', 800)",MetalHydride,False,-311.31288642117136,-17.26489219814565,0.38829731941229184,1.3361146748063533,-13.920185685157975,0.01,35.86589907109765,-0.3688862718756297,8904349914533.771,1000.0,-1.3979400086720375,True,,,,0,0,,,Unphysical dE_H=-17.26 eV (|val|>10.0)
"('MAXPhase', 'Mo', 'P', 'N', 1, 'Ti', 'basal_0001')",MAXPhase,True,-247.9217771207123,0.31160392612221344,-2.2220733165740363,5.074826985597596,1.0459398031235594,1.7321578621864915,4.451619133353169,-0.2774516754595936,18634.10732810954,1000.0,0.0,True,False,0.5199556092414295,False,0,0,,,
"('MAXPhase', 'Mo', 'In', 'N', 3, 'Zr', 'edge_1120')",MAXPhase,True,-244.92189020329715,-0.47251281887290375,-2.745898008346497,1.3608987629413463,-0.26200163364401874,0.8165988564491868,2.3059244006871538,-0.28788010410949594,766518951.904321,1000.0,-0.8702632007109543,True,False,0.707500000035,False,0,0,unknown,"{'status': 'unknown', 'barrier_reduction_eV': 0.0, 'coking_bonus': 0.0, 'missing': ['shear_rate_s', 'interfacial_field_V_m', 'mechanical_power_W_kg', 'carbon_detachment_fraction'], 'conditions': {'shear_rate_s': None, 'interfacial_field_V_m': None, 'mechanical_power_W_kg': None, 'carbon_detachment_fraction': None, 'field_measurement_source': None}}",
"('MAXPhase', 'Hf', 'Si', 'C', 2, 'Ta', 'edge_1010')",MAXPhase,True,-244.7477630396511,0.25130119174721344,-2.406922101974427,4.491407185792909,0.8007882833481688,1.560551798343718,3.988804802298482,-0.680264589054309,136510.1958139,1000.0,0.0,True,False,0.707500000035,False,0,0,,,
"('MAXPhase', 'Hf', 'Bi', 'N', 3, 'None', 'edge_1120')",MAXPhase,True,-243.93382538881173,-1.0529705062508334,-2.3536307811736457,0.9179132282733775,-0.45019209384909686,0.6848655343056322,3.0238542407750444,-0.6850421159097777,3535327246.393965,1000.0,-2.0,True,False,0.707500000035,False,0,0,unknown,"{'status': 'unknown', 'barrier_reduction_eV': 0.0, 'coking_bonus': 0.0, 'missing': ['shear_rate_s', 'interfacial_field_V_m', 'mechanical_power_W_kg', 'carbon_detachment_fraction'], 'conditions': {'shear_rate_s': None, 'interfacial_field_V_m': None, 'mechanical_power_W_kg': None, 'carbon_detachment_fraction': None, 'field_measurement_source': None}}",
"('HEA', ('V', 'Fe', 'Ni', 'Ag', 'Hf', 'Al'), 'fcc', '111', 800)",HEA,True,-196.09709580222,-0.23174247890714028,-1.21738505363464,0.9038560688495494,1.507281661033602,2.0756796956062096,1.36734102666383,-0.10514554186860892,345.96705948545053,1000.0,0.0,True,False,0.902500000035,False,0,0,,,
"('HEA', ('V', 'Ni', 'Pd', 'W', 'Ga', 'Sb'), 'fcc', '111', 800)",HEA,True,-200.45450940245678,-0.37300834804770844,-1.4731528759002082,0.021714955568299388,1.1102479696274656,1.7659934163094233,0.7677316516637163,-0.09812573596041148,12583.020525775777,1000.0,-1.0479181997366487,True,False,0.902500000035,False,0,0,unknown,"{'status': 'unknown', 'barrier_reduction_eV': 0.0, 'coking_bonus': 0.0, 'missing': ['shear_rate_s', 'interfacial_field_V_m', 'mechanical_power_W_kg', 'carbon_detachment_fraction'], 'conditions': {'shear_rate_s': None, 'interfacial_field_V_m': None, 'mechanical_power_W_kg': None, 'carbon_detachment_fraction': None, 'field_measurement_source': None}}",
"('HEA', ('V', 'Mo', 'Ru', 'Ta', 'Si', 'Sn'), 'fcc', '111', 800)",HEA,False,-188.97140521594213,-10.252677537500833,-12.116875410079953,-8.888365000486331,-19.413143754005404,0.01,11.616990074515336,-0.0875704686264271,8904349914533.771,1000.0,-0.24287685596793818,True,,,,0,0,unknown,"{'status': 'unknown', 'barrier_reduction_eV': 0.0, 'coking_bonus': 0.0, 'missing': ['shear_rate_s', 'interfacial_field_V_m', 'mechanical_power_W_kg', 'carbon_detachment_fraction'], 'conditions': {'shear_rate_s': None, 'interfacial_field_V_m': None, 'mechanical_power_W_kg': None, 'carbon_detachment_fraction': None, 'field_measurement_source': None}}",Unphysical dE_H=-10.25 eV (|val|>10.0)
"('HEA', ('Cr', 'Co', 'Si', 'Ga', 'Ge', 'Bi'), 'amorphous', '211', 1300)",HEA,True,-186.88823739858134,0.1314548477530728,-1.4840857982635463,1.2221010029315806,1.6037782430649088,2.150947029590629,0.959191307425435,-0.03636319072641072,144.4455219216701,1000.0,0.0,True,False,0.902500000035,False,0,0,unknown,"{'status': 'unknown', 'barrier_reduction_eV': 0.0, 'coking_bonus': 0.0, 'missing': ['shear_rate_s', 'interfacial_field_V_m', 'mechanical_power_W_kg', 'carbon_detachment_fraction'], 'conditions': {'shear_rate_s': None, 'interfacial_field_V_m': None, 'mechanical_power_W_kg': None, 'carbon_detachment_fraction': None, 'field_measurement_source': None}}",
"('Spinel', 'Fe', 'Co', 'Ce', 'nanoparticle', 'N-graphene')",Spinel,True,-366.37553943489763,-2.5320964828133334,-5.340473890304619,1.7595193684100963,-4.91616117954257,0.01,6.823712334036763,-0.11319969639745295,8904349914533.771,1000.0,0.0,True,True,0.6852014328916924,True,0,0,,,
"('Spinel', 'Fe', 'Fe', 'Y', 'nanoparticle', 'N-graphene')",Spinel,True,-403.395141765782,-0.8691345229744094,-1.4506137371063197,2.198118001222653,0.6366609334946531,1.7692633414268988,3.936387047171472,-0.7775989965086978,12114.492007969937,1000.0,0.0,True,False,0.740000000035,False,0,0,,,
"('Spinel', 'Fe', 'Al', 'Mo', 'nanoparticle', 'N-graphene')",Spinel,True,-397.6839126002924,1.278991125524012,-1.336357355117908,5.084943443536744,2.8990429639814863,3.081444919109262,2.52696119248872,-0.5603511505572498,0.0029525762181555073,1000.0,0.0,True,False,0.740000000035,False,0,0,,,
"('Spinel', 'Fe', 'Cu', 'None', 'hollow_sphere', 'none')",Spinel,False,-296.5938924771492,-23.78535041958097,-28.017067670822197,-23.413751810789122,-48.84600889682778,0.01,24.156949028372814,-0.11371735081639826,8904349914533.771,1000.0,0.0,True,,,,0,0,,,Unphysical dE_H=-23.79 eV (|val|>10.0)
"('MXene', 'Mo', 'CN', 1, 'mixed_OH_F', 'Fe')",MXene,True,-146.250413338126,0.04282417148351314,-2.201195478439356,-0.1405927836895131,0.7980378866195394,1.5926657629012868,-0.2262411266565394,-0.09630982212707409,94041.12840287089,1000.0,0.0,True,False,0.675000000035,False,0,0,,,
"('MXene', 'Nb', 'C', 1, 'S', 'Mn')",MXene,True,-140.94449569981154,-0.12601814419031498,-2.2996070384979213,2.5316484272480153,0.530784010887146,1.4109331274032593,2.7836847156286453,-0.5987496986524888,774836.3801630811,1000.0,0.0,True,False,0.675000000035,False,0,0,,,
"('MXene', 'Nb', 'N', 1, 'Cl', 'Fe')",MXene,True,-140.34849236575695,0.12920799106359127,-2.1680266857147465,-0.17918989062310686,0.917590498924227,1.6739615392684746,-0.4376058727502894,-0.6558835640089342,36610.457100267864,1000.0,0.0,True,False,0.675000000035,False,0,0,,,
"('MXene', 'Nb', 'CN', 3, 'bare', 'None')",MXene,True,-143.3138785577409,0.11681022495031002,-2.149967908859278,3.7639329731464244,0.9232515096664144,1.677811026573162,3.5303125232458044,-0.7014672889845202,35011.00594168088,1000.0,0.0,True,False,0.675000000035,False,0,0,,,
"('SAA', 'Rh', 'Sn', '100', 100)",SAA,True,-119.12606267377762,0.30351676791906,-2.139348745346066,3.9812619984150075,1.1205772161483765,1.701638684272766,3.3742284625768875,0.2228448540035842,26553.29862498175,1000.0,-2.0,True,False,0.902500000035,False,0,0,unknown,"{'status': 'unknown', 'barrier_reduction_eV': 0.0, 'coking_bonus': 0.0, 'missing': ['shear_rate_s', 'interfacial_field_V_m', 'mechanical_power_W_kg', 'carbon_detachment_fraction'], 'conditions': {'shear_rate_s': None, 'interfacial_field_V_m': None, 'mechanical_power_W_kg': None, 'carbon_detachment_fraction': None, 'field_measurement_source': None}}",
"('SAA', 'Rh', 'Ga', '100', 5000)",SAA,True,-97.67659916913813,0.3210948929190742,-1.5939223766326869,3.57241752743721,1.6835817098617696,2.129522099494945,2.9302277415990616,0.2518655167032577,185.2170563866646,1000.0,-2.0,True,False,0.902500000035,False,0,0,unknown,"{'status': 'unknown', 'barrier_reduction_eV': 0.0, 'coking_bonus': 0.0, 'missing': ['shear_rate_s', 'interfacial_field_V_m', 'mechanical_power_W_kg', 'carbon_detachment_fraction'], 'conditions': {'shear_rate_s': None, 'interfacial_field_V_m': None, 'mechanical_power_W_kg': None, 'carbon_detachment_fraction': None, 'field_measurement_source': None}}",
"('SAA', 'Ir', 'Cu', '110', 2000)",SAA,False,-165.94253321065554,-1.8613582625984897,0.037200212478612826,-18.60198804736136,1.1322511434555054,1.710510869026184,-14.87927152216438,0.38451435869415035,23955.46671699023,1000.0,-2.0,True,,,,0,0,,,Unphysical dE_C=-18.60 eV (|val|>10.0)
"('SAA', 'Ir', 'Ag', '211', 10000)",SAA,True,-99.49226535691278,0.19629325717687252,1.6674368381499995,5.287422448396683,4.820139288902254,4.513305859565713,4.894835934042938,0.04337212406903461,1.794483978466788e-10,1000.0,-2.0,True,False,0.902500000035,False,0,0,,,
"('MetalFreeCarbon', 'pyrrolic', 0.2, 'none', 'graphene', 'B')",MetalFreeCarbon,True,-131.58738982325306,-0.979846097528938,-3.9476225376129115,0.11812856793405047,-1.9710594415664673,1.5101291954517366,2.0778207629919265,-0.14975197561749098,245066.42970329363,1000.0,0.0,True,False,0.27249999999999996,True,0,0,,,
"('MetalFreeCarbon', 'graphitic', 0.01, 'Stone_Wales', 'porous_carbon', 'B')",MetalFreeCarbon,True,-131.58738648539295,-0.9798675552010572,-3.9475471973419154,-0.0833890140056468,-1.9710055589675903,1.5101480543613435,1.8763460963964675,-0.14975149878033278,245012.80313673094,1000.0,0.0,True,False,0.27249999999999996,True,0,0,,,
"('MetalFreeCarbon', 'graphitic', 0.02, 'edge_zigzag', 'graphene', 'B')",MetalFreeCarbon,True,-131.5873893464159,-0.9798728004097974,-3.947569608688351,-0.08648893237112532,-1.9710332155227661,1.510138374567032,1.8732566684484695,-0.14975183256634353,245040.32681111075,1000.0,0.0,True,False,0.27249999999999996,True,0,0,,,
"('MetalFreeCarbon', 'graphitic', 0.06, 'pentagon_heptagon', 'graphene_nanoribbon', 'none')",MetalFreeCarbon,True,-131.58738648539295,-0.9798880591988599,-3.94890999794006,-0.08636972308157453,-1.9723888635635376,1.509663897752762,1.8734063953161453,-0.1497513080454695,246393.25843025296,1000.0,0.0,True,False,0.27249999999999996,True,0,0,,,
